table_name,constraint_type,column_name,foreign_table,foreign_column,index_name,index_definition
materials,PRIMARY KEY,id,,,ingredients_pkey,CREATE UNIQUE INDEX ingredients_pkey ON public.materials USING btree (id)
materials,UNIQUE,code,,,idx_materials_code,CREATE UNIQUE INDEX idx_materials_code ON public.materials USING btree (code)
stock_items,PRIMARY KEY,id,,,stock_items_pkey,CREATE UNIQUE INDEX stock_items_pkey ON public.stock_items USING btree (id)
stock_items,UNIQUE,material_id,,,unique_ingredient_stock,CREATE UNIQUE INDEX unique_ingredient_stock ON public.stock_items USING btree (material_id)
stock_movements,PRIMARY KEY,id,,,stock_movements_pkey,CREATE UNIQUE INDEX stock_movements_pkey ON public.stock_movements USING btree (id)
recipes_bom,PRIMARY KEY,id,,,recipes_bom_pkey,CREATE UNIQUE INDEX recipes_bom_pkey ON public.recipes_bom USING btree (id)
recipes_bom,UNIQUE,finished_material_id,,,recipes_bom_finished_material_id_key,CREATE UNIQUE INDEX recipes_bom_finished_material_id_key ON public.recipes_bom USING btree (finished_material_id)
recipe_bom_items,PRIMARY KEY,id,,,recipe_bom_items_pkey,CREATE UNIQUE INDEX recipe_bom_items_pkey ON public.recipe_bom_items USING btree (id)
recipe_bom_items,UNIQUE,"(recipe_id, material_id)",,,recipe_bom_items_recipe_id_material_id_key,CREATE UNIQUE INDEX recipe_bom_items_recipe_id_material_id_key ON public.recipe_bom_items USING btree (recipe_id, material_id)
composites_bom,PRIMARY KEY,id,,,composites_bom_pkey,CREATE UNIQUE INDEX composites_bom_pkey ON public.composites_bom USING btree (id)
composites_bom,UNIQUE,composite_material_id,,,composites_bom_composite_material_id_key,CREATE UNIQUE INDEX composites_bom_composite_material_id_key ON public.composites_bom USING btree (composite_material_id)
composite_bom_items,PRIMARY KEY,id,,,composite_bom_items_pkey,CREATE UNIQUE INDEX composite_bom_items_pkey ON public.composite_bom_items USING btree (id)
composite_bom_items,UNIQUE,"(composite_id, component_material_id)",,,composite_bom_items_composite_id_component_material_id_key,CREATE UNIQUE INDEX composite_bom_items_composite_id_component_material_id_key ON public.composite_bom_items USING btree (composite_id, component_material_id)
taxonomy_definitions,PRIMARY KEY,id,,,taxonomy_definitions_pkey,CREATE UNIQUE INDEX taxonomy_definitions_pkey ON public.taxonomy_definitions USING btree (id)
taxonomy_definitions,UNIQUE,key,,,taxonomy_definitions_key_key,CREATE UNIQUE INDEX taxonomy_definitions_key_key ON public.taxonomy_definitions USING btree (key)
taxonomy_terms,PRIMARY KEY,id,,,taxonomy_terms_pkey,CREATE UNIQUE INDEX taxonomy_terms_pkey ON public.taxonomy_terms USING btree (id)
config_namespaces,PRIMARY KEY,id,,,config_namespaces_pkey,CREATE UNIQUE INDEX config_namespaces_pkey ON public.config_namespaces USING btree (id)
config_namespaces,UNIQUE,key,,,config_namespaces_key_key,CREATE UNIQUE INDEX config_namespaces_key_key ON public.config_namespaces USING btree (key)
config_options,PRIMARY KEY,id,,,config_options_pkey,CREATE UNIQUE INDEX config_options_pkey ON public.config_options USING btree (id)
config_values,PRIMARY KEY,id,,,config_values_pkey,CREATE UNIQUE INDEX config_values_pkey ON public.config_values USING btree (id)
config_values,UNIQUE,"(namespace_id, key)",,,config_values_namespace_id_key_key,CREATE UNIQUE INDEX config_values_namespace_id_key_key ON public.config_values USING btree (namespace_id, key)
clients,PRIMARY KEY,id,,,clients_pkey,CREATE UNIQUE INDEX clients_pkey ON public.clients USING btree (id)
suppliers,PRIMARY KEY,id,,,suppliers_pkey,CREATE UNIQUE INDEX suppliers_pkey ON public.suppliers USING btree (id)
suppliers,UNIQUE,code,,,suppliers_code_key,CREATE UNIQUE INDEX suppliers_code_key ON public.suppliers USING btree (code)
app_settings,PRIMARY KEY,key,,,app_settings_pkey,CREATE UNIQUE INDEX app_settings_pkey ON public.app_settings USING btree (key)
