index_check,status,description
stock_items(material_id),✅ EXISTS,Índice crítico existente
stock_movements(material_id),✅ EXISTS,Índice crítico existente  
recipe_bom_items(recipe_id),✅ EXISTS,Índice crítico existente
recipe_bom_items(material_id),✅ EXISTS,Índice crítico existente
composite_bom_items(composite_id),✅ EXISTS,Índice crítico existente
composite_bom_items(component_material_id),✅ EXISTS,Índice crítico existente
materials(category_subcategory),✅ EXISTS,Índice de performance existente
materials(material_type),✅ EXISTS,Índice de performance existente

Status: ✅ TODOS OS ÍNDICES CRÍTICOS EXISTEM - Sistema otimizado para performance.
