id,code,name,material_type_ATUAL,category_ATUAL,subcategory_ATUAL,purchase_unit,usage_unit,conversion_factor,status,material_type_NOVO,category_NOVO,subcategory_NOVO,OBSERVACOES
97f12c78-01cf-40db-901c-a7689c6c2b3a,INS0021,Iogurte grego,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
944705c8-88e6-4a03-ba50-6f405a82f4bc,INS0104,Pimenta biquinho,ingredient,Insumo,conservas_enlatados,kg,g,1000,,Insumo,Alimentos & Ingredientes,Conservas & Enlatados,
f14ec31a-39f7-4889-8f52-c1443cc41584,INS0091,Café Especial Moído ,ingredient,Insumo,bebidas_liquidos,pacote,g,250,,Insumo,Alimentos & Ingredientes,Líquidos & Bebidas Base,
5314671d-448d-4147-8445-96084a3d1c4e,PAC0002,Sanduíche Artesano de Salame Italiano,ingredient,Produto Acabado,"Salgados (sanduíches, tortinhas, quiches)",unidade,unidade,1,,Insumo,Produtos Prontos,Salgados,
cb6b725e-f0e8-4dce-acf4-ac6e5366ce4c,PAC0003,Massa de chocolate para tortas ,ingredient,Produto Intermediário,Massas & Bases,unidade,unidade,1,,Insumo,Produtos Intermediários,Massas & Bases,
5ad03c03-047c-451a-a763-df825de00569,INS0131,Caldo de Galinha,ingredient,Insumo,Condimentos & Temperos,unidade,g,10,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
241c5d18-5b88-4bce-a5cc-fab7fef074fd,INT0005,Massa Para Bolo De Limão ,intermediate_product,Produto Intermediário,Massas & Bases,g,g,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
c07e5204-588e-4829-8f84-338c3441c5ee,INS0123,Açúcar de Confeiteiro,ingredient,Insumo,Açúcares & Adoçantes,kg,g,1000,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
407e2c0e-ffbf-458a-bcaa-8d2295da4320,FIN0002,Cupcake Red Velvet,finished_product,Produto Acabado,"Doces (bolos, tortas, confeitaria)",un,un,1,,Produto Acabado,Produtos Prontos,Doces & Confeitaria,
18370e4e-2909-44ed-964a-8edc4f355e3e,INS0124,Pão de Queijo Premium - PCT 2KG (20G.UN),ingredient,Produto Acabado,,PCT,un,99,,Insumo,Produtos Prontos,,
1c65cfda-5fc6-423c-8102-a9bf4f95132f,INT0013,Brigadeiro branco,intermediate_product,Produto Intermediário,Recheios & Coberturas,g,g,1,,Produto Intermediário,Produtos Intermediários,Recheios & Coberturas,
ed0da687-d0eb-4f0b-be63-42345d63d275,INS0073,Tábua de queijos,ingredient,Insumo,laticinios,unidade,g,1,,Insumo,Alimentos & Ingredientes,Laticínios,
9dbbc9eb-829d-4b40-8bc1-f943f67f27e3,INT0006,Recheio Mousse de Limão,intermediate_product,Produto Intermediário,Recheios & Coberturas,g,g,1,,Produto Intermediário,Produtos Intermediários,Recheios & Coberturas,
0f1beb40-9818-4394-9bb5-8249342b5930,INT0007,Glacê Real,intermediate_product,Produto Intermediário,Recheios & Coberturas,g,g,1,,Produto Intermediário,Produtos Intermediários,Recheios & Coberturas,
9ca6560d-901a-48e2-ba45-36e98f180dfa,INT0010,Manteiga Queimada,intermediate_product,Produto Intermediário,Massas & Bases,g,g,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
9dd9119a-051e-4e53-bf94-13f9ac431189,FIN0006,Pizza fofa de Sardinha ,finished_product,Produto Acabado,"Salgados (sanduíches, tortinhas, quiches)",unidade,unidade,1,,Produto Acabado,Produtos Prontos,Salgados,
3d3123e0-65bc-42ad-b1c3-7d68dd82f13e,INT0014,Massa Pão Australiano,intermediate_product,Produto Intermediário,Massas & Bases,g,g,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
1e76e71b-cab0-4b7d-b088-5ed61b88090c,INS0064,Canela em pó,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
b970e479-8702-4ba8-8003-f4d525acaf3e,EMB0002,Copo de papel 80ml ,ingredient,Embalagem,primarias,unidade,unidade,1,,Insumo,Embalagens,Embalagens Primárias,
0dd9a69e-bdc7-4e57-9dd6-cd3e1bd02cf2,INS0068,Dadinho de tapioca,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
1755e549-c79b-4a32-a02e-3120c95b002b,INS0075,Embalagem empada alumínio,ingredient,Embalagem,primarias,pacote,unidade,1,,Insumo,Embalagens,Embalagens Primárias,
913be23d-78b0-4f3a-a0d5-6980beb5a441,INS0065,Granola,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
1faa0522-3632-4e5a-90ec-f14b872201ea,INS0063,Pão fatiado sem casca ,ingredient,Insumo,graos_cereais,pacote,unidade,1,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
19443740-ed51-49e4-adad-24d70f287681,INS0125,Pão de Queijo Premium - PCT 2KG (20G.UN),ingredient,Produto Acabado,,PCT,un,99,,Insumo,Produtos Prontos,,
1b8d63bc-d3b9-4df9-bbd4-e700f236293d,FIN0004,Brownie com Brigadeiro Branco,finished_product,Produto Acabado,"Doces (bolos, tortas, confeitaria)",unidade,unidade,1,,Produto Acabado,Produtos Prontos,Doces & Confeitaria,
74d91e52-ccae-4212-bca7-fd9d0f8001e1,INS0067,Suco natural de laranja,ingredient,Insumo,bebidas_liquidos,unidade,mL,1,,Insumo,Alimentos & Ingredientes,Líquidos & Bebidas Base,
5bbd34fb-114e-4a7d-a15a-dd97d62b7936,INS0066,Água sem gás,ingredient,Insumo,bebidas_liquidos,unidade,mL,1000,,Insumo,Alimentos & Ingredientes,Líquidos & Bebidas Base,
3a609230-04c2-42f0-a4ea-550888de7194,PCO0001,Garrafa térmica inox,ingredient,Equipamentos,"Serviço (garrafas térmicas, chaleiras)",unidade,unidade,1,,Insumo,Operacionais,Equipamentos de Serviço,
a00c1448-1ac2-4ba5-b138-70bdf403518c,INS0069,Bisnaga sem glúten,ingredient,Insumo,graos_cereais,pacote,unidade,1,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
305f29f9-7269-4a6a-bd2c-abdf6983dbc5,EMB0005,Mexedor de Café,packaging,Embalagem,primarias,pacote,unidade,100,,Embalagem,Embalagens,Embalagens Primárias,
d0e134f6-ddb1-44ef-af57-7d5b098bcaf1,PAC0007,Sanduíche Artesano de Presunto e Queijo ,finished_product,Produto Acabado,"Salgados (sanduíches, tortinhas, quiches)",un,un,1,,Produto Acabado,Produtos Prontos,Salgados,
1fe400a8-6046-47de-b528-2aea0d3cd2dc,INT0008,Massa Bolo Red Velvet,intermediate_product,Produto Intermediário,Massas & Bases,g,g,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
